"advisor_raw","n_tesis","n_programas","anio_min","anio_max","programas","ejemplo_titulo","advisor_canonical_sugerido","metodo_sugerencia","notas"
"Dr. Guillermo M. Cejudo",14,6,2009,2024,"Administración y Políticas Públicas | Ciencia Política y Relaciones Internacionales | Gerencia Pública | Gestión Pública | Periodismo y Asuntos Públicos | Políticas Públicas","La institucionalización de la evaluación de políticas públicas en el nivel subnacional de México: el caso de Durango, México","Guillermo Miguel Cejudo Ramírez","fusion_curada","Revisar y promover a data-raw/asesores_alias.csv si requiere una fusion adicional"
"Dra. Ana Díaz Aldret",14,3,2014,2022,"Administración y Políticas Públicas | Ciencia Política y Relaciones Internacionales | Gerencia Pública","Prevención del delito a través del diseño medio-ambiental: propuesta de política pública","Ana Elisa Díaz Aldret","fusion_curada","Revisar y promover a data-raw/asesores_alias.csv si requiere una fusion adicional"
"Dra. Lucero Ibarra Rojas",14,1,2017,2025,"Derecho","Derechos culturales y cohesión social a través de la restauración del templo y convento de la comunidad de San Jerónimo Tlacochahuaya","Lucero Ibarra Rojas","clave_normalizada","Revisar y promover a data-raw/asesores_alias.csv si requiere una fusion adicional"
"Mtro. Carlos Bravo Regidor",14,2,2014,2018,"Periodismo sobre Políticas Púbicas | Periodismo y Asuntos Públicos","El otro lado de la medicina social: pasantes de médicos frente a un panorama de violencia, inseguridad, carencias y bajos salarios","Carlos Bravo Regidor","clave_normalizada","Revisar y promover a data-raw/asesores_alias.csv si requiere una fusion adicional"
"Dr. Gustavo Fondevila",13,3,2008,2026,"Ciencia Política y Relaciones Internacionales | Derecho | Políticas Públicas","Menores viviendo en prisión","Gustavo Javier Fondevila Pérez","fusion_curada","Revisar y promover a data-raw/asesores_alias.csv si requiere una fusion adicional"
"Dr. Rodrigo Meneses Reyes",13,2,2012,2024,"Derecho | Periodismo sobre Políticas Púbicas","Límites y alcances de las acciones colectivas en México","Rodrigo Meneses Reyes","clave_normalizada","Revisar y promover a data-raw/asesores_alias.csv si requiere una fusion adicional"
"Dra. Claudia Maldonado Trujillo",13,4,2013,2021,"Administración y Políticas Públicas | Ciencia Política y Relaciones Internacionales | Gerencia Pública | Periodismo sobre Políticas Púbicas","El análisis costo beneficio aplicado a proyectos de infraestructura pública federal: variación en la calidad de la información y sus determinantes","Claudia Vanessa Maldonado Trujillo","fusion_curada","Revisar y promover a data-raw/asesores_alias.csv si requiere una fusion adicional"
"Dr. Mauricio Iván Dussauge Laguna",12,4,2015,2022,"Administración y Políticas Públicas | Gerencia Pública | Periodismo sobre Políticas Púbicas | Políticas Públicas","México: aún sin su vacuna Patria. Políticas públicas de vacunación ante la pandemia del COVID-19 (2020-2022)","Mauricio Iván Dussauge Laguna","clave_normalizada","Revisar y promover a data-raw/asesores_alias.csv si requiere una fusion adicional"
"Dr. Sergio López Ayllón",12,3,2007,2020,"Administración y Políticas Públicas | Derecho | Políticas Públicas","¿Cuáles son los principales problemas procesales que afrontan los jueces y las partes al momento de ejercer el control difuso en México?","Sergio López Ayllón","clave_normalizada","Revisar y promover a data-raw/asesores_alias.csv si requiere una fusion adicional"
"Dr. José Roldán Xopa",11,4,2016,2026,"Administración y Políticas Públicas | Derecho | Gerencia Pública | Gestión Pública","El regulador del sector energético y la gallina de los huevos de oro: un estudio de caso de la interacción entre la CRE y PEMEX","José Roldán Xopa","clave_normalizada","Revisar y promover a data-raw/asesores_alias.csv si requiere una fusion adicional"
"Dra. Joy Langston Hawkes",11,1,2005,2023,"Ciencia Política y Relaciones Internacionales","El efecto arrastre presidencial en las contiendas electorales de 2000 y 2006","Joy Kathryn Langston Hawkes","fusion_curada","Revisar y promover a data-raw/asesores_alias.csv si requiere una fusion adicional"
"Dra. Judith Mariscal Avilés",11,2,2011,2017,"Administración y Políticas Públicas | Gerencia Pública","Eficencia portuaria en contenedores: los efectos de la ley de puertos","Judith Mariscal Avilés","clave_normalizada","Revisar y promover a data-raw/asesores_alias.csv si requiere una fusion adicional"
"Dra. Ximena María Medellín Urquiaga",11,2,2018,2025,"Ciencia Política y Relaciones Internacionales | Derecho","El arraigo en México frente al derecho internacional público","Ximena María Medellín Urquiaga","clave_normalizada","Revisar y promover a data-raw/asesores_alias.csv si requiere una fusion adicional"
"Dr. Guillermo Miguel Cejudo Ramírez",10,3,2015,2026,"Administración y Políticas Públicas | Gestión Pública | Políticas Públicas","El sentido ético y los valores en las políticas públicas: el problema de los animales callejeros en el Distrito Federal","Guillermo Miguel Cejudo Ramírez","clave_normalizada","Revisar y promover a data-raw/asesores_alias.csv si requiere una fusion adicional"
"Dra. Allyson Lucinda Benton",10,2,2007,2020,"Ciencia Política | Ciencia Política y Relaciones Internacionales","Legislación en inversión estatal: factores económicos, sociales, institucionales y políticos que fomentan su aprobación","Allyson Lucinda Benton","clave_normalizada","Revisar y promover a data-raw/asesores_alias.csv si requiere una fusion adicional"
"Dra. Laura Helena Atuesta Becerra",10,5,2016,2023,"Ciencia Política | Ciencia Política y Relaciones Internacionales | Gerencia Pública | Métodos para el Análisis de Políticas Públicas | Políticas Públicas","Proceso de interiorización de la violencia criminal: el fantasma detrás del mexicano","Laura Helena Atuesta Becerra","clave_normalizada","Revisar y promover a data-raw/asesores_alias.csv si requiere una fusion adicional"
"Dra. Lorena Ruano Gómez",10,2,2004,2022,"Ciencia Política | Ciencia Política y Relaciones Internacionales","¿Cuál deficit democrático?: la satisfacción con la democracia nacional y las contribuciones netas como determinante de la satisfacción con la democracia en la Unión Europea","Lorena Ruano Gómez","clave_normalizada","Revisar y promover a data-raw/asesores_alias.csv si requiere una fusion adicional"
"Dr. Claudio López-Guerra",9,2,2011,2019,"Ciencia Política | Ciencia Política y Relaciones Internacionales","El derecho humano a la educación y la capacidad para una mínima razón práctica","Claudio López Guerra","clave_normalizada","Revisar y promover a data-raw/asesores_alias.csv si requiere una fusion adicional"
"Dr. Rik Peeters",9,4,2019,2024,"Administración y Políticas Públicas | Ciencia Política y Relaciones Internacionales | Gestión Pública | Políticas Públicas","La implementación del gobierno abierto en el poder ejecutivo de Guanajuato: una propuesta para su fortalecimiento","Rik Peeters","clave_normalizada","Revisar y promover a data-raw/asesores_alias.csv si requiere una fusion adicional"
"Dra. Ana Laura Magaloni Kerpel",9,2,2011,2020,"Ciencia Política y Relaciones Internacionales | Derecho","La interpretación de la primera sala de la suprema corte de justicia de la nación del derecho del detenido a ser puesto a disposición del ministerio público sin demora","Ana Laura Magaloni Kerpel","clave_normalizada","Revisar y promover a data-raw/asesores_alias.csv si requiere una fusion adicional"
"Mtra. Jimena Moreno González",9,1,2015,2024,"Derecho","Entre Caribdis y Escila: el mercado de instituciones de fondos de pago electrónico bajo el nuevo marco regulatorio Fintech","Jimena Moreno González","clave_normalizada","Revisar y promover a data-raw/asesores_alias.csv si requiere una fusion adicional"
"Dr. Alejandro Madrazo Lajous",8,2,2012,2024,"Derecho | Políticas Públicas","El régimen abolicionista de la prostitución en el contexto mexicano: indefinición e ideología en el no reconocimiento del trabajo sexual","Alejandro Madrazo Lajous","clave_normalizada","Revisar y promover a data-raw/asesores_alias.csv si requiere una fusion adicional"
"Dr. Edgar Ramírez de la Cruz",8,3,2013,2022,"Administración y Políticas Públicas | Gerencia Pública | Políticas Públicas","Accidentes de autotransporte federal: nuevas propuestas de solución para un problema aún no resuelto","Edgar Eugenio Ramírez De La Cruz","fusion_curada","Revisar y promover a data-raw/asesores_alias.csv si requiere una fusion adicional"
"Dr. José Antonio Aguilar Rivera",8,1,2011,2025,"Ciencia Política y Relaciones Internacionales","¿Cuáles son las posesiones justas?: fronteras morales de la justicia redistributiva","José Antonio Aguilar Rivera","clave_normalizada","Revisar y promover a data-raw/asesores_alias.csv si requiere una fusion adicional"
"Dr. Julio Ríos Figueroa",8,2,2011,2026,"Ciencia Política | Ciencia Política y Relaciones Internacionales","El efecto de la competencia política en el establecimiento de organismos jurisdiccionales administrativos locales","Julio Antonio Ríos Figueroa","fusion_curada","Revisar y promover a data-raw/asesores_alias.csv si requiere una fusion adicional"
"Dr. Saúl López Noriega",8,1,2018,2021,"Derecho","El recurso de reclamación ante la Suprema Corte de Justicia de la Nación","Saúl López Noriega","clave_normalizada","Revisar y promover a data-raw/asesores_alias.csv si requiere una fusion adicional"
"Dra. Ana Carolina Garriga",8,1,2011,2016,"Ciencia Política y Relaciones Internacionales","El cabildeo legislativo en las regulaciones al sector privado: el caso de la industria tabacalera en México","Ana Carolina Garriga","clave_normalizada","Revisar y promover a data-raw/asesores_alias.csv si requiere una fusion adicional"
"Dra. Catherine Andrews",8,2,2016,2024,"Historia Aplicada | Historia Internacional","Los albores de la ciudadanía en México: sociedad y cultura política en Puebla, 1780-1834","Catherine Andrews","clave_normalizada","Revisar y promover a data-raw/asesores_alias.csv si requiere una fusion adicional"
"Dr. Alejandro Anaya Muñoz",7,2,2011,2019,"Ciencia Política y Relaciones Internacionales | Periodismo y Asuntos Públicos","Política exterior de derechos humanos en democracias desarrolladas: el caso de Corea","Alejandro Anaya Muñoz","clave_normalizada","Revisar y promover a data-raw/asesores_alias.csv si requiere una fusion adicional"
"Dr. Andreas Schedler",7,3,2007,2020,"Ciencia Política | Ciencia Política y Relaciones Internacionales | Políticas Públicas","La participación política de las mujeres mexicanas como impulso para el desarrollo legislativo en materia de violencia intrafamiliar","Andreas Paul Schedler","fusion_curada","Revisar y promover a data-raw/asesores_alias.csv si requiere una fusion adicional"
"Dr. Carlos A. Pérez Ricart",7,2,2022,2025,"Ciencia Política | Ciencia Política y Relaciones Internacionales","Becarios, no sicarios: un análisis de la idea detrás de Jóvenes Construyendo el Futuro","Carlos Alfonso Pérez Ricart","fusion_curada","Revisar y promover a data-raw/asesores_alias.csv si requiere una fusion adicional"
"Dr. Enrique Cabrero Mendoza",7,3,2005,2022,"Administración y Políticas Públicas | Gerencia Pública | Políticas Públicas","Competitividad de centros urbanos en México: un ejercicio de diferenciación y agrupación de ciudades","Enrique Cabrero Mendoza","clave_normalizada","Revisar y promover a data-raw/asesores_alias.csv si requiere una fusion adicional"
"Dr. Gerardo de Jesús Maldonado Hernández",7,1,2015,2024,"Ciencia Política y Relaciones Internacionales","Abrir la puerta a la democracia: participación como funcionarias de casilla en México","Gerardo De Jesús Maldonado Hernández","clave_normalizada","Revisar y promover a data-raw/asesores_alias.csv si requiere una fusion adicional"
"Dr. Guillermo M. Cejudo Ramírez",7,2,2011,2023,"Administración y Políticas Públicas | Gestión Pública","La inclusión financiera como medio para aumentar el ahorro para el retiro","Guillermo Miguel Cejudo Ramírez","fusion_curada","Revisar y promover a data-raw/asesores_alias.csv si requiere una fusion adicional"
"Dr. Gustavo Javier Fondevila",7,2,2006,2025,"Derecho | Políticas Públicas","Derechos humanos de las personas privadas de la libertad: el derecho de contacto con el exterior y su relación con la reinserción social de los sujetos","Gustavo Javier Fondevila Pérez","fusion_curada","Revisar y promover a data-raw/asesores_alias.csv si requiere una fusion adicional"
"Dr. Héctor Mauricio Núñez Amórtegui",7,3,2015,2025,"Economía Ambiental | Métodos para el Análisis de Políticas Públicas | Políticas Públicas","Propuesta de sistema de producción dinámico para la economía circular de residuos sólidos en México","Héctor Mauricio Núñez Amórtegui","clave_normalizada","Revisar y promover a data-raw/asesores_alias.csv si requiere una fusion adicional"
"Dr. José Jaime Sainz Santamaría",7,5,2015,2023,"Administración y Políticas Públicas | Gerencia Pública | Gestión Pública | Métodos para el Análisis de Políticas Públicas | Políticas Públicas","Estimación del beneficio de mejorar el servicio de provisión de agua como insumo para políticas públicas: el caso de Nezahualcóyotl, Estado de México","José Jaime Sainz Santamaría","clave_normalizada","Revisar y promover a data-raw/asesores_alias.csv si requiere una fusion adicional"
"Dr. Osiel González Dávila",7,2,2019,2023,"Métodos para el Análisis de Políticas Públicas | Políticas Públicas","Impacto de la política de cierre de actividades económicas no esenciales en los ingresos por hora trabajada en México ante la pandemia por COVID-19","Osiel González Dávila","clave_normalizada","Revisar y promover a data-raw/asesores_alias.csv si requiere una fusion adicional"
"Dra. Christina Anne Boyes",7,1,2022,2025,"Ciencia Política y Relaciones Internacionales","¿Dónde están las mujeres?: dominación masculina, violencia de género y violencia doméstica como determinantes de la participación de mujeres en peacekeeping","Christina Anne Boyes","clave_normalizada","Revisar y promover a data-raw/asesores_alias.csv si requiere una fusion adicional"
"Dra. Elizabeth Pérez Chiqués",7,3,2021,2025,"Gestión Pública | Métodos para el Análisis de Políticas Públicas | Políticas Públicas","Sexismo en código binario: violencia digital y política contra las mujeres en México","Elizabeth Pérez Chiqués","clave_normalizada","Revisar y promover a data-raw/asesores_alias.csv si requiere una fusion adicional"
"Dra. María Grisel Salazar Rebolledo",7,4,2017,2025,"Administración y Políticas Públicas | Ciencia Política y Relaciones Internacionales | Periodismo sobre Políticas Púbicas | Periodismo y Asuntos Públicos","Aisladas en el aislamiento: vivir con discapacidad psicosocial en una penitenciaria de la CDMX","María Grisel Salazar Rebolledo","clave_normalizada","Revisar y promover a data-raw/asesores_alias.csv si requiere una fusion adicional"
"Dra. Rosario Aguilar Pariente",7,1,2010,2016,"Ciencia Política y Relaciones Internacionales","Los determinantes de la participación electoral de los jóvenes en México","María Del Rosario Aguilar Pariente","fusion_curada","Revisar y promover a data-raw/asesores_alias.csv si requiere una fusion adicional"
"Dra. Sandra J. Ley Gutiérrez",7,3,2016,2020,"Ciencia Política | Ciencia Política y Relaciones Internacionales | Periodismo sobre Políticas Púbicas","Participación vecinal frente a la violencia e inseguridad","Sandra Jessica Ley Gutiérrez","fusion_curada","Revisar y promover a data-raw/asesores_alias.csv si requiere una fusion adicional"
"Lic. Ignacio Marván Laborde",7,1,2006,2018,"Ciencia Política y Relaciones Internacionales","Lo electoral: entre la certidumbre de las viejas prácticas y el caos de las nuevas tecnologías. Minería de texto para el análisis de campañas online","Ignacio Marván Laborde","clave_normalizada","Revisar y promover a data-raw/asesores_alias.csv si requiere una fusion adicional"
"Lic. Javier Cruz Angulo Nobara",7,1,2009,2016,"Derecho","La incorporación del interés legítimo al juicio de amparo: hacia una tutela sustantiva de los derechos humanos","Javier Cruz Angulo Nobara","clave_normalizada","Revisar y promover a data-raw/asesores_alias.csv si requiere una fusion adicional"
"Mtra. Claudia Maldonado Trujillo",7,2,2008,2011,"Administración y Políticas Públicas | Ciencia Política y Relaciones Internacionales","El uso instrumental de la evaluación en los programas gubernamentales: el caso de la evaluación de la política social en México","Claudia Vanessa Maldonado Trujillo","fusion_curada","Revisar y promover a data-raw/asesores_alias.csv si requiere una fusion adicional"
"Dr. Aldo Fernando Ponce Ugolini",6,3,2017,2024,"Ciencia Política | Ciencia Política y Relaciones Internacionales | Políticas Públicas","Party nationalization, and legislative de/centralization in federal democracies","Aldo Fernando Ponce Ugolini","clave_normalizada","Revisar y promover a data-raw/asesores_alias.csv si requiere una fusion adicional"
"Dr. Aldo Ponce Ugolini",6,2,2018,2025,"Ciencia Política | Ciencia Política y Relaciones Internacionales","¿Cómo responden los legisladores a su distrito electoral?: distribución de bienes públicos locales en América Latina","Aldo Fernando Ponce Ugolini","fusion_curada","Revisar y promover a data-raw/asesores_alias.csv si requiere una fusion adicional"
"Dr. Brian J. Phillips",6,1,2014,2017,"Ciencia Política y Relaciones Internacionales","Operaciones de paz de la ONU: ¿qué explica la variación en el tipo de mandatos?","Brian J Phillips","clave_normalizada","Revisar y promover a data-raw/asesores_alias.csv si requiere una fusion adicional"
"Dr. Carlos Bravo Regidor",6,3,2014,2019,"Ciencia Política y Relaciones Internacionales | Periodismo sobre Políticas Púbicas | Periodismo y Asuntos Públicos","Inútil a la patria. Discriminación contra los policías lesionados en cumplimiento del deber","Carlos Bravo Regidor","clave_normalizada","Revisar y promover a data-raw/asesores_alias.csv si requiere una fusion adicional"
"Dr. Guillermo Cejudo Ramírez",6,3,2012,2023,"Administración y Políticas Públicas | Ciencia Política y Relaciones Internacionales | Gerencia Pública","Análisis de la intervención gubernamental en el Buen Fin","Guillermo Miguel Cejudo Ramírez","fusion_curada","Revisar y promover a data-raw/asesores_alias.csv si requiere una fusion adicional"
"Dr. Javier Cruz Angulo Nobara",6,1,2015,2020,"Derecho","La ilegal intervención de comunicaciones privadas por parte de los órganos de inteligencia en México","Javier Cruz Angulo Nobara","clave_normalizada","Revisar y promover a data-raw/asesores_alias.csv si requiere una fusion adicional"
"Dr. Juan Salgado Ibarra",6,2,2015,2018,"Derecho | Gerencia Pública","El panóptico del Siglo XXI: compatibilidad del artículo 190, fracción II, de la Ley Federal de Telecomunicaciones y Radiodifusión con el derecho internacional público","Juan Salgado Ibarra","clave_normalizada","Revisar y promover a data-raw/asesores_alias.csv si requiere una fusion adicional"
"Dr. Manlio Felipe Castillo Salas",6,3,2021,2025,"Administración y Políticas Públicas | Gestión Pública | Políticas Públicas","Estudio exploratorio sobre los protocolos de salud implementados en los aeropuertos mexicanos durante la pandemia por COVID-19","Manlio Felipe Castillo Salas","clave_normalizada","Revisar y promover a data-raw/asesores_alias.csv si requiere una fusion adicional"
"Dr. Oliver David Meza Canales",6,4,2017,2023,"Administración y Políticas Públicas | Gestión Pública | Métodos para el Análisis de Políticas Públicas | Políticas Públicas","Corrupción en gobiernos municipales: un acercamiento a las regidurías municipales a través del marco de consolidación de la corrupción","Oliver David Meza Canales","clave_normalizada","Revisar y promover a data-raw/asesores_alias.csv si requiere una fusion adicional"
"Dr. Pablo Mijangos y González",6,3,2012,2020,"Ciencia Política y Relaciones Internacionales | Derecho | Historia Internacional","Perturbadores del orden: extranjeros infractores en México, 1821-1861","Pablo Mijangos Y González","clave_normalizada","Revisar y promover a data-raw/asesores_alias.csv si requiere una fusion adicional"
"Dr. Raúl Pacheco-Vega",6,4,2019,2024,"Administración y Políticas Públicas | Derecho | Métodos para el Análisis de Políticas Públicas | Políticas Públicas","Medios contemplados por el orden jurídico mexicano para que la ciudadanía haga exigible su derecho humano de acceso al agua: el caso de Monterrey en 2021 y 2022","Raúl Pacheco Vega","clave_normalizada","Revisar y promover a data-raw/asesores_alias.csv si requiere una fusion adicional"
"Dr. Robert Duval Hernández",6,1,2008,2010,"Economía","Los retornos a la educación a nivel regional en México","Robert Duval Hernández","clave_normalizada","Revisar y promover a data-raw/asesores_alias.csv si requiere una fusion adicional"
"Dr. Rodrigo Velázquez López Velarde",6,2,2017,2023,"Administración y Políticas Públicas | Gestión Pública","El papel de la sociedad civil en la rendición de cuentas para la seguridad pública: el caso Nuevo León","Rodrigo Velázquez López Velarde","clave_normalizada","Revisar y promover a data-raw/asesores_alias.csv si requiere una fusion adicional"
"Dra. María Amparo Casar Pérez",6,2,2010,2018,"Administración y Políticas Públicas | Políticas Públicas","Las políticas de población en México y su cambio a lo largo del siglo XX y XXI","María Amparo Casar Pérez","clave_normalizada","Revisar y promover a data-raw/asesores_alias.csv si requiere una fusion adicional"
"Dra. María de la Luz Inclán Oseguera",6,1,2015,2022,"Ciencia Política y Relaciones Internacionales","¿La unión hace la fuerza?: la participación de las ONG mexicanas en la creación de la Ley 3 de 3 y el Sistema Nacional Anticorrupción","María De La Luz Inclán Oseguera","clave_normalizada","Revisar y promover a data-raw/asesores_alias.csv si requiere una fusion adicional"
"Dra. Sonia Di Giannatale",6,1,2018,2025,"Economía","The impact of financial inclusion on social mobility in Mexico: a regional and state-level analysis","Sonia Beatriz Di Giannatale Menegalli","clave_de_alias","Revisar y promover a data-raw/asesores_alias.csv si requiere una fusion adicional"
"Dra. Yadira Elizabeth Peralta Torres",6,2,2021,2025,"Economía Ambiental | Métodos para el Análisis de Políticas Públicas","The impact of the Safe Intersections Program: a longitudinal perspective","Yadira Elizabeth Peralta Torres","clave_normalizada","Revisar y promover a data-raw/asesores_alias.csv si requiere una fusion adicional"
"Mtro. Rodolfo de la Torre García",6,1,2012,2015,"Administración y Políticas Públicas","Movilidad social de la población indígena en México","Rodolfo De La Torre García","clave_normalizada","Revisar y promover a data-raw/asesores_alias.csv si requiere una fusion adicional"
"Dr. Alfonso Miranda",5,2,2013,2023,"Economía | Economía Ambiental","Alternativas de ingesta de agua en Aguascalientes y su asociación con problemas de salud","Alfonso Miranda Caso","clave_de_alias","Revisar y promover a data-raw/asesores_alias.csv si requiere una fusion adicional"
"Dr. Andrew Paxman",5,3,2017,2021,"Historia Internacional | Periodismo sobre Políticas Púbicas | Periodismo y Asuntos Públicos","¿Dejar la homosexualidad, reconstruir mi heterosexualidad?: historias de terapias de conversión y reintegración","Andrew William Paxman","fusion_curada","Revisar y promover a data-raw/asesores_alias.csv si requiere una fusion adicional"
"Dr. César Rentería Marín",5,2,2023,2026,"Administración y Políticas Públicas | Gestión Pública","¿Cómo mantener a los empleados públicos motivados?: los determinantes de la satisfacción laboral en México","César Rentería Marín","clave_normalizada","Revisar y promover a data-raw/asesores_alias.csv si requiere una fusion adicional"
"Dr. Daniel Zizumbo Colunga",5,4,2021,2024,"Ciencia Política | Gestión Pública | Métodos para el Análisis de Políticas Públicas | Políticas Públicas","La movilización clientelar y la brecha socioeconómico-electoral","Daniel Zizumbo Colunga","clave_normalizada","Revisar y promover a data-raw/asesores_alias.csv si requiere una fusion adicional"
"Dr. David Strauss",5,1,2016,2018,"Economía","The nexus between corruption, informality and misallocation in Mexico","David Strauss","clave_normalizada","Revisar y promover a data-raw/asesores_alias.csv si requiere una fusion adicional"
"Dr. Edgar E. Ramírez de la Cruz",5,3,2013,2024,"Administración y Políticas Públicas | Gerencia Pública | Políticas Públicas","La gestión de redes en la planeación nacional: análisis del proceso de elaboración de las metas de mitigación del programa especial de cambio climático","Edgar Eugenio Ramírez De La Cruz","fusion_curada","Revisar y promover a data-raw/asesores_alias.csv si requiere una fusion adicional"
"Dr. Edgar Eugenio Ramírez de la Cruz",5,3,2016,2023,"Administración y Políticas Públicas | Gerencia Pública | Gestión Pública","Prácticas para promover una ventanilla única de comercio exterior más sencilla: la facilitación del comercio a través de la simplificación en trámites","Edgar Eugenio Ramírez De La Cruz","clave_normalizada","Revisar y promover a data-raw/asesores_alias.csv si requiere una fusion adicional"
"Dr. Javier Reyes Martínez",5,2,2023,2025,"Administración y Políticas Públicas | Gestión Pública","Análisis de los desafíos para la disponibilidad y acceso a medicamentos huérfanos en México: la política farmacéutica y el impacto de la falta de atención a enfermedades raras","Javier Reyes Martínez","clave_normalizada","Revisar y promover a data-raw/asesores_alias.csv si requiere una fusion adicional"
"Dr. Jorge Alberto Schiavon Uriegas",5,1,2009,2021,"Ciencia Política y Relaciones Internacionales","Los miembros no permanentes del Consejo de Seguridad y la esfera nacional como factor potenciador de incidencia: los casos mexicanos 2002-2003 y 2009-2010","Jorge Alberto Schiavon Uriegas","clave_normalizada","Revisar y promover a data-raw/asesores_alias.csv si requiere una fusion adicional"
"Dr. José Ramón Gil García",5,1,2008,2013,"Administración y Políticas Públicas","E-democracia y oportunidades de participación en los portales estatales mexicanos","José Ramón Gil García","clave_normalizada","Revisar y promover a data-raw/asesores_alias.csv si requiere una fusion adicional"
"Dr. Juan Espíndola Mata",5,3,2015,2019,"Ciencia Política y Relaciones Internacionales | Gerencia Pública | Periodismo y Asuntos Públicos","Estado y comercio ambulante: fundamentos normativos para la regulación del ambulantaje","Juan Espíndola Mata","clave_normalizada","Revisar y promover a data-raw/asesores_alias.csv si requiere una fusion adicional"
"Dr. Luis Medina Peña",5,2,2014,2024,"Historia Aplicada | Historia Internacional","Los engranajes mecánicos de la República Mexicana: de la república de los inventores a la república de la fraternidad. Vida y obra de Juan Nepomuceno Adorno","Luis Medina Peña","clave_normalizada","Revisar y promover a data-raw/asesores_alias.csv si requiere una fusion adicional"
"Dr. Mark Aspinwall",5,1,2016,2024,"Ciencia Política y Relaciones Internacionales","Integración regional: México y Turquía en perspectiva comparada","Mark Aspinwall","clave_normalizada","Revisar y promover a data-raw/asesores_alias.csv si requiere una fusion adicional"
"Dra. Catherine Vézina",5,1,2014,2024,"Historia Internacional","Los procesos de creación de las comisiones de la verdad en Canadá y Noruega","Catherine Vézina","clave_normalizada","Revisar y promover a data-raw/asesores_alias.csv si requiere una fusion adicional"
"Dra. Gabriela Pérez Yarahuán",5,2,2016,2023,"Administración y Políticas Públicas | Periodismo sobre Políticas Púbicas","Del desafío de cuidados infantiles en México a la elección de beneficiarios en el diseño del PABNNHMT: ¿a quién otorgar los apoyos?","Gabriela Pérez Yarahuán","clave_normalizada","Revisar y promover a data-raw/asesores_alias.csv si requiere una fusion adicional"
